Common Name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for,GIC Decision
Contorted-pod Evening-primrose,,Endangered,29/04/06,Camissonia contorta,Contorted-pod Evening-primrose,,Endangered,Schedule 1,13/12/07,British Columbia,Vascular Plants,,Add
Cooper's Hawk,,Not at Risk,01/04/96,Accipiter cooperii,,,No Status,No schedule,,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Birds,,
Cope's Grey Treefrog,,Not at Risk,01/04/99,Hyla chrysoscelis,,,No Status,No schedule,,Manitoba,Amphibians,,
Copper Redhorse,,Endangered,02/05/14,Moxostoma hubbsi,Copper Redhorse,,Endangered,Schedule 1,13/12/07,Quebec,Fishes (freshwater),,Add
Cougar,Eastern population,Data Deficient,01/04/98,Puma concolor  couguar,Cougar,Eastern population,No Status,No schedule,,"Ontario, Quebec, New Brunswick, Nova Scotia",Mammals (terrestrial),,
Crooked-stem Aster,,Special Concern,25/11/12,Symphyotrichum prenanthoides,Crooked-stem Aster,,Special Concern,Schedule 1,12/01/05,Ontario,Vascular Plants,,Downlist
Crumpled Tarpaper Lichen,,Threatened,26/11/10,Collema coniophilum,Crumpled Tarpaper Lichen,,Threatened,Schedule 1,03/02/17,British Columbia,Lichens,,Add
Cryptic Paw Lichen,,Threatened,03/05/19,Nephroma occultum,Cryptic Paw Lichen,,Special Concern,Schedule 1,13/12/07,British Columbia,Lichens,Status change,Pending
Cucumber Tree,,Endangered,25/04/10,Magnolia acuminata,Cucumber Tree,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,
Cusk,,Endangered,25/11/12,Brosme brosme,Cusk,,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Cutlip Minnow,,Special Concern,01/11/13,Exoglossum maxillingua,Cutlip Minnow,,Special Concern,Schedule 1,08/08/19,"Ontario, Quebec",Fishes (freshwater),,Add
Cuvier's Beaked Whale,,Not at Risk,01/04/90,Ziphius cavirostris,,,No Status,No schedule,,"Atlantic Ocean, Pacific Ocean",Mammals (marine),,
Dakota Skipper,,Endangered,02/05/14,Hesperia dacotae,Dakota Skipper,,Endangered,Schedule 1,14/07/05,"Saskatchewan, Manitoba",Arthropods,,Uplist
Dall's Porpoise,,Not at Risk,01/04/89,Phocoenoides dalli,,,No Status,No schedule,,Pacific Ocean,Mammals (marine),,
Dalton‰Ûªs Moss,,Endangered,03/05/19,Daltonia splachnoides,Dalton‰Ûªs Moss,,No Status,No schedule,,British Columbia,Mosses,Addition,Pending
Dark-banded Flower Gem,,Data Deficient,05/05/05,Melaporphyria immortua,Dark-banded Flower Gem,,No Status,No schedule,,"Alberta, Saskatchewan, Manitoba",Arthropods,,
Darkblotched Rockfish,,Special Concern,27/11/09,Sebastes crameri,Darkblotched Rockfish,,No Status,No schedule,,Pacific Ocean,Fishes (marine),Addition,Pending
Davis's Shieldback,,Threatened,04/11/20,Atlanticus davisi,Davis's Shieldback,,No Status,No schedule,,Ontario,Arthropods,Addition,Pending
Deepwater Cisco,,Extinct,01/05/00,Coregonus johannae,,,No Status,No schedule,,Ontario,Fishes (freshwater),,
Deepwater Redfish,Gulf of St. Lawrence - Laurentian Channel population,Endangered,25/04/10,Sebastes mentella,Deepwater Redfish,Gulf of St. Lawrence - Laurentian Channel population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Deepwater Redfish,Northern population,Threatened,25/04/10,Sebastes mentella,Deepwater Redfish,Northern population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Deepwater Sculpin,Great Lakes - Upper St. Lawrence populations,Special Concern,28/04/17,Myoxocephalus thompsonii,Deepwater Sculpin,Great Lakes - Western St. Lawrence populations,Special Concern,Schedule 1,13/12/07,"Ontario, Quebec",Fishes (freshwater),,Add
Deepwater Sculpin,Great Lakes populations,Non-active,29/04/06,Myoxocephalus thompsonii,Deepwater Sculpin,Great Lakes populations,Threatened,,,Ontario,Fishes (freshwater),,
Deepwater Sculpin,Saskatchewan - Nelson River populations,Not at Risk,28/04/17,Myoxocephalus thompsonii,,,No Status,No schedule,,"Manitoba, Ontario",Fishes (freshwater),,
Deepwater Sculpin,Southern Hudson Bay - James Bay populations,Data Deficient,28/04/17,Myoxocephalus thompsonii,Deepwater Sculpin,Southern Hudson Bay - James Bay populations,No Status,No schedule,,Ontario,Fishes (freshwater),,
Deepwater Sculpin,Waterton Lake population,Special Concern,28/04/17,Myoxocephalus thompsonii,Deepwater Sculpin,Waterton Lake population,No Status,No schedule,,Alberta,Fishes (freshwater),Addition,Pending
Deepwater Sculpin,Western Arctic populations,Not at Risk,28/04/17,Myoxocephalus thompsonii,,,No Status,No schedule,,"Northwest Territories, Alberta, Saskatchewan",Fishes (freshwater),,
Deepwater Sculpin,Western Hudson Bay populations,Not at Risk,28/04/17,Myoxocephalus thompsonii,,,No Status,No schedule,,Saskatchewan,Fishes (freshwater),,
Deepwater Sculpin,Western populations,Non-active,28/04/17,Myoxocephalus thompsonii,,,No Status,No schedule,,"Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario",Fishes (freshwater),,
Deerberry,,Threatened,04/11/20,Vaccinium stamineum,Deerberry,,Threatened,Schedule 1,05/06/03,Ontario,Vascular Plants,,Add
DeKay's Brownsnake,,Not at Risk,01/05/02,Storeria dekayi,,,No Status,No schedule,,"Ontario, Quebec",Reptiles,,
Delicate Luster Moss,,Not at Risk,29/04/06,Isopterygium tenerum,,,No Status,No schedule,,Nova Scotia,Mosses,,
Deltoid Balsamroot,,Endangered,26/04/09,Balsamorhiza deltoidea,Deltoid Balsamroot,,Endangered,Schedule 1,05/06/03,British Columbia,Vascular Plants,,
Dense Blazing Star,,Threatened,25/04/10,Liatris spicata,Dense Blazing Star,,Threatened,Schedule 1,05/06/03,Ontario,Vascular Plants,,
Dense Spike-primrose,,Endangered,05/05/05,Epilobium densiflorum,Dense Spike-primrose,,Endangered,Schedule 1,15/08/06,British Columbia,Vascular Plants,,Add
Dense-flowered Lupine,,Endangered,05/05/05,Lupinus densiflorus,Dense-flowered Lupine,,Endangered,Schedule 1,15/08/06,British Columbia,Vascular Plants,,Add
Desert Nightsnake,,Endangered,06/05/11,Hypsiglena chlorophaea,Desert Nightsnake,,Endangered,Schedule 1,05/06/03,British Columbia,Reptiles,,
Dolly Varden,Western Arctic populations,Special Concern,26/11/10,Salvelinus malma  malma,Dolly Varden,Western Arctic populations,Special Concern,Schedule 1,13/04/17,"Yukon, Northwest Territories",Fishes (freshwater),,Add
Double-crested Cormorant,,Not at Risk,01/04/78,Phalacrocorax auritus,,,No Status,No schedule,,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,
Downy Yellow False Foxglove,,Endangered,27/04/18,Aureolaria virginica,Downy Yellow False Foxglove,,No Status,No schedule,,Ontario,Vascular Plants,Addition,Pending
Dromedary Jumping-slug,,Threatened,02/05/14,Hemphillia dromedarius,Dromedary Jumping-slug,,Threatened,Schedule 1,12/01/05,British Columbia,Molluscs,,Add
Drooping Trillium,,Endangered,26/04/09,Trillium flexipes,Drooping Trillium,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,
Drooping-leaved Beard-moss,,Endangered,03/05/19,Oxystegus recurvifolius,Drooping-leaved Beard-moss,,No Status,No schedule,,British Columbia,Mosses,Addition,Pending
Dun Skipper vestris subspecies,,Threatened,03/05/13,Euphyes vestris  vestris,Dun Skipper,Western population,Threatened,Schedule 1,05/06/03,British Columbia,Arthropods,,
Dune Tachinid Fly,,Special Concern,06/05/11,Germaria angustata,Dune Tachinid Fly,,Special Concern,Schedule 1,03/02/17,Yukon,Arthropods,,Add
Dusky Dune Moth,,Endangered,30/11/07,Copablepharon longipenne,Dusky Dune Moth,,Endangered,Schedule 1,23/02/10,"Alberta, Saskatchewan, Manitoba",Arthropods,,Add
Dwarf Fleabane,,Not at Risk,01/04/96,Erigeron radicatus,,,No Status,No schedule,,"Alberta, Saskatchewan",Vascular Plants,,
Dwarf Hackberry,,Threatened,01/11/03,Celtis tenuifolia,Dwarf Hackberry,,Threatened,Schedule 1,14/07/05,Ontario,Vascular Plants,,Add
Dwarf Hesperochiron,,Endangered,03/05/19,Hesperochiron pumilus,Dwarf Hesperochiron,,No Status,No schedule,,British Columbia,Vascular Plants,Addition,Pending
Dwarf Lake Iris,,Special Concern,26/11/10,Iris lacustris,Dwarf Lake Iris,,Special Concern,Schedule 1,15/08/06,Ontario,Vascular Plants,,Downlist
Dwarf Sandwort,,Endangered,01/05/04,Minuartia pusilla,Dwarf Sandwort,,Endangered,Schedule 1,14/07/05,British Columbia,Vascular Plants,,Add
Dwarf Sperm Whale,,Data Deficient,01/04/97,Kogia simus,Dwarf Sperm Whale,,No Status,No schedule,,Pacific Ocean,Mammals (marine),,
Dwarf Wedgemussel,,Extirpated,01/12/21,Alasmidonta heterodon,Dwarf Wedgemussel,,Extirpated,Schedule 1,05/06/03,New Brunswick,Molluscs,,
Dwarf Woolly-heads,Prairie population,Special Concern,29/04/06,Psilocarphus brevissimus,Dwarf Woolly-heads,Prairie population,Special Concern,Schedule 1,13/12/07,"Alberta, Saskatchewan",Vascular Plants,,Add
Dwarf Woolly-heads,Southern Mountain population,Endangered,29/04/06,Psilocarphus brevissimus,Dwarf Woolly-heads,Southern Mountain population,Endangered,Schedule 1,13/12/07,British Columbia,Vascular Plants,,Add
Eastern Baccharis,,Threatened,25/11/11,Baccharis halimifolia,Eastern Baccharis,,Threatened,Schedule 1,02/06/17,Nova Scotia,Vascular Plants,,Add
Eastern Banded Tigersnail,,Endangered,28/04/17,Anguispira kochi  kochi,Eastern Banded Tigersnail,,Endangered,Schedule 1,12/08/21,Ontario,Molluscs,,Add
Eastern Bluebird,,Not at Risk,01/04/96,Sialia sialis,,,No Status,No schedule,,"Prince Edward Island, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Birds,,
Eastern Box Turtle,,Extirpated,28/11/14,Terrapene carolina,Eastern Box Turtle,,Extirpated,Schedule 1,25/02/19,Ontario,Reptiles,,Add
Eastern Flowering Dogwood,,Endangered,22/04/07,Cornus florida,Eastern Flowering Dogwood,,Endangered,Schedule 1,05/03/09,Ontario,Vascular Plants,,Add
Eastern Foxsnake,,Non-active,25/04/08,Pantherophis vulpinus,Eastern Foxsnake,,No Status,No schedule,05/06/03,Ontario,Reptiles,,Struck
Eastern Foxsnake,Carolinian population,Threatened,01/12/21,Pantherophis vulpinus,Eastern Foxsnake,Carolinian population,Endangered,Schedule 1,05/06/03,Ontario,Reptiles,,Uplist
Eastern Foxsnake,Great Lakes / St. Lawrence population,Threatened,01/12/21,Pantherophis vulpinus,Eastern Foxsnake,Great Lakes / St. Lawrence population,Endangered,Schedule 1,05/06/03,Ontario,Reptiles,,Uplist
Eastern Hog-nosed Snake,,Threatened,05/05/21,Heterodon platirhinos,Eastern Hog-nosed Snake,,Threatened,Schedule 1,05/06/03,Ontario,Reptiles,,
Eastern Lilaeopsis,,Special Concern,01/05/04,Lilaeopsis chinensis,Eastern Lilaeopsis,,Special Concern,Schedule 1,14/07/05,Nova Scotia,Vascular Plants,,Add
Eastern Meadowlark,,Threatened,06/05/11,Sturnella magna,Eastern Meadowlark,,Threatened,Schedule 1,02/11/17,"Ontario, Quebec, New Brunswick, Nova Scotia",Birds,,Add
Eastern Mole,,Special Concern,26/11/10,Scalopus aquaticus,Eastern Mole,,Special Concern,Schedule 1,05/06/03,Ontario,Mammals (terrestrial),,
Eastern Mountain Avens,,Endangered,25/04/10,Geum peckii,Eastern Mountain Avens,,Endangered,Schedule 1,05/06/03,Nova Scotia,Vascular Plants,,
Eastern Musk Turtle,,Special Concern,25/11/12,Sternotherus odoratus,Eastern Musk Turtle,,Special Concern,Schedule 1,12/01/05,"Ontario, Quebec",Reptiles,,Downlist
Eastern Painted Turtle,,Special Concern,27/04/18,Chrysemys picta  picta,Eastern Painted Turtle,,Special Concern,Schedule 1,23/04/21,"Quebec, New Brunswick, Nova Scotia",Reptiles,,Add
Eastern Persius Duskywing,,Endangered,29/04/16,Erynnis persius  persius,Eastern Persius Duskywing,,Endangered,Schedule 1,13/12/07,Ontario,Arthropods,,Add
Eastern Pondmussel,,Special Concern,28/04/17,Ligumia nasuta,Eastern Pondmussel,,Special Concern,Schedule 1,08/03/13,Ontario,Molluscs,,Downlist
Eastern Prairie Fringed Orchid,,Endangered,01/05/03,Platanthera leucophaea,Eastern Prairie Fringed-orchid,,Endangered,Schedule 1,12/01/05,Ontario,Vascular Plants,,Add
Eastern Prickly Pear Cactus,,Endangered,25/04/10,Opuntia humifusa,Eastern Prickly Pear Cactus,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,
Eastern Ribbonsnake,Atlantic population,Threatened,25/11/12,Thamnophis sauritus,Eastern Ribbonsnake,Atlantic population,Threatened,Schedule 1,12/01/05,Nova Scotia,Reptiles,,Add
Eastern Ribbonsnake,Great Lakes population,Special Concern,25/11/12,Thamnophis sauritus,Eastern Ribbonsnake,Great Lakes population,Special Concern,Schedule 1,12/01/05,"Ontario, Quebec",Reptiles,,Add
Eastern Sand Darter,,Non-active,27/11/09,Ammocrypta pellucida,Eastern Sand Darter,,No Status,No schedule,05/06/03,"Ontario, Quebec",Fishes (freshwater),,
Eastern Sand Darter,Ontario populations,Threatened,27/11/09,Ammocrypta pellucida,Eastern Sand Darter,Ontario populations,Threatened,Schedule 1,05/06/03,Ontario,Fishes (freshwater),,
Eastern Sand Darter,Quebec populations,Threatened,27/11/09,Ammocrypta pellucida,Eastern Sand Darter,Quebec populations,Threatened,Schedule 1,05/06/03,Quebec,Fishes (freshwater),,
Eastern Screech-owl,,Not at Risk,01/04/86,Megascops asio,,,No Status,No schedule,,"Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick",Birds,,
Eastern Silvery Minnow,,Not at Risk,01/04/97,Hybognathus regius,,,No Status,No schedule,,"Ontario, Quebec",Fishes (freshwater),,
Eastern Tiger Salamander,,Non-active,25/11/12,Ambystoma tigrinum,,,No Status,No schedule,,"Manitoba, Ontario",Amphibians,,
Eastern Tiger Salamander,Carolinian population,Extirpated,25/11/12,Ambystoma tigrinum,Eastern Tiger Salamander,Carolinian population,Extirpated,Schedule 1,05/06/03,Ontario,Amphibians,,Add
Eastern Tiger Salamander,Prairie population,Endangered,01/11/13,Ambystoma tigrinum,Eastern Tiger Salamander,Prairie population,Endangered,Schedule 1,02/02/18,Manitoba,Amphibians,,Add
Eastern Waterfan,,Threatened,01/11/13,Peltigera hydrothyria,Eastern Waterfan,,Threatened,Schedule 1,02/02/18,"Quebec, New Brunswick, Nova Scotia",Lichens,,Add
Eastern Wolf,,Threatened,01/05/15,Canis sp. cf. lycaon,Eastern Wolf,,Special Concern,Schedule 1,05/06/03,"Ontario, Quebec",Mammals (terrestrial),Status change,Pending
Eastern Wood-pewee,,Special Concern,25/11/12,Contopus virens,Eastern Wood-pewee,,Special Concern,Schedule 1,02/11/17,"Prince Edward Island, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Birds,,Add
Eastern Yellow-bellied Racer,,Threatened,26/11/15,Coluber constrictor  flaviventris,Eastern Yellow-bellied Racer,,Threatened,Schedule 1,15/08/06,"Alberta, Saskatchewan",Reptiles,,Add
Edwards' Beach Moth,,Endangered,05/05/21,Anarta edwardsii,Edwards' Beach Moth,,Endangered,Schedule 1,04/02/11,British Columbia,Arthropods,,Add
Eelgrass Limpet,,Extinct,01/05/00,Lottia alveus  alveus,,,No Status,No schedule,,Atlantic Ocean,Molluscs,,
Engelmann's Quillwort,,Endangered,01/05/01,Isoetes engelmannii,Engelmann's Quillwort,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,Add
Enos Lake Benthic Threespine Stickleback,,Endangered,04/05/12,Gasterosteus aculeatus,Enos Lake Benthic Threespine Stickleback,,Endangered,Schedule 1,12/01/05,British Columbia,Fishes (freshwater),,Add
Enos Lake Limnetic Threespine Stickleback,,Endangered,04/05/12,Gasterosteus aculeatus,Enos Lake Limnetic Threespine Stickleback,,Endangered,Schedule 1,12/01/05,British Columbia,Fishes (freshwater),,Add
Enos Lake Threespine Sticklebacks,,Non-active,01/11/02,Gasterosteus spp.,Enos Lake Sticklebacks,,Threatened,,,British Columbia,Fishes (freshwater),,
Ensatina,,Not at Risk,01/04/99,Ensatina eschscholtzii,,,No Status,No schedule,,British Columbia,Amphibians,,
Ermine haidarum subspecies,,Threatened,01/05/15,Mustela erminea  haidarum,Ermine haidarum subspecies,,Threatened,Schedule 1,05/06/03,British Columbia,Mammals (terrestrial),,
Eskimo Curlew,,Endangered,27/11/09,Numenius borealis,Eskimo Curlew,,Endangered,Schedule 1,05/06/03,"Prince Edward Island, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,
Eulachon,Central Pacific Coast population,Endangered,06/05/11,Thaleichthys pacificus,Eulachon,Central Pacific Coast population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Eulachon,Fraser River population,Endangered,06/05/11,Thaleichthys pacificus,Eulachon,Fraser River population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Eulachon,Nass / Skeena Rivers population,Special Concern,03/05/13,Thaleichthys pacificus,Eulachon,Nass / Skeena Rivers population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
European Whitefish,Dezadeash Lake large-bodied population,Threatened,27/04/18,Coregonus lavaretus,European Whitefish,Dezadeash Lake large-bodied population,No Status,No schedule,,Yukon,Fishes (freshwater),Addition,Pending
European Whitefish,Dezadeash Lake small-bodied population,Threatened,27/04/18,Coregonus lavaretus,European Whitefish,Dezadeash Lake small-bodied population,No Status,,,Yukon,Fishes (freshwater),,Pending
European Whitefish,Little Teslin Lake small-bodied population,Threatened,27/04/18,Coregonus lavaretus,European Whitefish,Little Teslin Lake small-bodied population,No Status,,,Yukon,Fishes (freshwater),,Pending
European Whitefish,Squanga Lake small-bodied population,Threatened,27/04/18,Coregonus lavaretus,European Whitefish,Squanga Lake small-bodied population,No Status,,,Yukon,Fishes (freshwater),,Pending
Evening Fieldslug,,Data Deficient,01/11/03,Deroceras hesperium,Evening Fieldslug,,No Status,No schedule,,British Columbia,Molluscs,,
Evening Grosbeak,,Special Concern,27/11/16,Coccothraustes vespertinus,Evening Grosbeak,,Special Concern,Schedule 1,22/05/19,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,Add
False Hop Sedge,,Endangered,25/11/11,Carex lupuliformis,False Hop Sedge,,Endangered,Schedule 1,05/06/03,"Ontario, Quebec",Vascular Plants,,
False Killer Whale,,Not at Risk,01/04/90,Pseudorca crassidens,,,No Status,No schedule,,Pacific Ocean,Mammals (marine),,
False Mermaid,,Not at Risk,01/04/84,Floerkea proserpinacoides,,,No Status,No schedule,,"Ontario, Quebec, Nova Scotia",Vascular Plants,,
False Rue-anemone,,Threatened,05/05/05,Enemion biternatum,False Rue-anemone,,Threatened,Schedule 1,15/08/06,Ontario,Vascular Plants,,Add
False-foxglove Sun Moth,,Endangered,27/04/18,Pyrrhia aurantiago,False-foxglove Sun Moth,,Endangered,Schedule 1,23/04/21,Ontario,Arthropods,,Add
Fameflower,,Not at Risk,01/04/90,Talinum sediforme,,,No Status,No schedule,,British Columbia,Vascular Plants,,
Fascicled Ironweed,,Endangered,28/11/14,Vernonia fasciculata,Fascicled Ironweed,,Endangered,Schedule 1,25/02/19,Manitoba,Vascular Plants,,Add
Fawnsfoot,,Endangered,25/04/08,Truncilla donaciformis,Fawnsfoot,,Endangered,Schedule 1,08/08/19,Ontario,Molluscs,,Add
Blanket-leaved Willow,,Special Concern,27/04/18,Salix silicicola,Felt-leaved Willow,,Special Concern,Schedule 1,05/06/03,Saskatchewan,Vascular Plants,,Add
Fern-leaved Yellow False Foxglove,,Threatened,27/04/18,Aureolaria pedicularia,Fern-leaved Yellow False Foxglove,,No Status,No schedule,,Ontario,Vascular Plants,Addition,Pending
Fernald's Braya,,Endangered,25/11/12,Braya fernaldii,Fernald's Braya,,Endangered,Schedule 1,05/06/03,Newfoundland and Labrador,Vascular Plants,,Uplist
Fernald's Milk-vetch,,Special Concern,01/11/01,Astragalus robbinsii  var. fernaldii,Fernald's Milk-vetch,,Special Concern,Schedule 1,05/06/03,"Quebec, Newfoundland and Labrador",Vascular Plants,,Add
Ferruginous Hawk,,Special Concern,05/05/21,Buteo regalis,Ferruginous Hawk,,Threatened,Schedule 1,23/02/10,"Alberta, Saskatchewan, Manitoba",Birds,Status change,Pending
Fin Whale,,Non-active,05/05/05,Balaenoptera physalus,Fin Whale,,Special Concern,,,"Atlantic Ocean, Pacific Ocean",Mammals (marine),,
Fin Whale,Atlantic population,Special Concern,03/05/19,Balaenoptera physalus,Fin Whale,Atlantic population,Special Concern,Schedule 1,15/08/06,Atlantic Ocean,Mammals (marine),,Add
Fin Whale,Pacific population,Special Concern,03/05/19,Balaenoptera physalus,Fin Whale,Pacific population,Threatened,Schedule 1,15/08/06,Pacific Ocean,Mammals (marine),Status change,Pending
Five-lined Skink,,Non-active,22/04/07,Plestiodon fasciatus,Five-lined Skink,,Special Concern,,,Ontario,Reptiles,,
Common Five-lined Skink,Carolinian population,Endangered,05/05/21,Plestiodon fasciatus,Five-lined Skink,Carolinian population,Endangered,Schedule 1,05/03/09,Ontario,Reptiles,,Add
Common Five-lined Skink,Great Lakes / St. Lawrence population,Special Concern,05/05/21,Plestiodon fasciatus,Five-lined Skink,Great Lakes / St. Lawrence population,Special Concern,Schedule 1,05/03/09,Ontario,Reptiles,,Add
Five-spotted Bogus Yucca Moth,,Endangered,03/05/13,Prodoxus quinquepunctellus,Five-spotted Bogus Yucca Moth,,Endangered,Schedule 1,13/12/07,Alberta,Arthropods,,Add
Flammulated Owl,,Special Concern,25/04/10,Otus flammeolus,Flammulated Owl,,Special Concern,Schedule 1,05/06/03,British Columbia,Birds,,
Flathead Catfish,,Data Deficient,25/04/08,Pylodictis olivaris,Flathead Catfish,,No Status,No schedule,,Ontario,Fishes (freshwater),,
Flexuous Golden Stubble Lichen,,Data Deficient,01/11/02,Chaenotheca servitii,Flexuous Golden Stubble Lichen,,No Status,No schedule,,Nova Scotia,Lichens,,
Floccose Tansy,,Special Concern,27/04/18,Tanacetum huronense  var. floccosum,Floccose Tansy,,Special Concern,Schedule 1,05/06/03,"Alberta, Saskatchewan",Vascular Plants,,Add
Flooded Jellyskin,,Special Concern,26/11/15,Leptogium rivulare,Flooded Jellyskin,,Special Concern,Schedule 1,14/07/05,"Manitoba, Ontario, Quebec",Lichens,,Downlist
Foothill Sedge,,Endangered,25/04/08,Carex tumulicola,Foothill Sedge,,Endangered,Schedule 1,23/02/10,British Columbia,Vascular Plants,,Add
Forked Three-awned Grass,,Endangered,01/11/02,Aristida basiramea,Forked Three-awned Grass,,Endangered,Schedule 1,12/01/05,"Ontario, Quebec",Vascular Plants,,Add
Forster's Tern,,Data Deficient,01/04/96,Sterna forsteri,Forster's Tern,,No Status,No schedule,,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario",Birds,,
Four-leaved Milkweed,,Endangered,25/04/10,Asclepias quadrifolia,Four-leaved Milkweed,,No Status,No schedule,,Ontario,Vascular Plants,,Not to list
Four-toed Salamander,,Not at Risk,01/04/99,Hemidactylium scutatum,,,No Status,No schedule,,"Ontario, Quebec, New Brunswick, Nova Scotia",Amphibians,,
Fourhorn Sculpin,Freshwater form,Data Deficient,01/11/03,Myoxocephalus quadricornis,Fourhorn Sculpin,Freshwater form,Special Concern,,,"Northwest Territories, Nunavut, Newfoundland and Labrador",Fishes (freshwater),,
Fourhorn Sculpin,Salt water form,Not at Risk,01/04/89,Myoxocephalus quadricornis,,,No Status,No schedule,,"Arctic Ocean, Atlantic Ocean, Pacific Ocean",Fishes (freshwater),,
Fowler's Toad,,Endangered,25/04/10,Anaxyrus fowleri,Fowler's Toad,,Endangered,Schedule 1,05/06/03,Ontario,Amphibians,,Uplist
Fox Squirrel,,Not at Risk,01/04/79,Sciurus niger,,,No Status,No schedule,,"Manitoba, Ontario",Mammals (terrestrial),,
Fragrant Popcornflower,,Endangered,25/04/08,Plagiobothrys figuratus,Fragrant Popcornflower,,Endangered,Schedule 1,23/02/10,British Columbia,Vascular Plants,,Add
Fringed Bat,,Data Deficient,01/05/04,Myotis thysanodes,Fringed Bat,,Special Concern,,,British Columbia,Mammals (terrestrial),,
Frosted Elfin,,Extirpated,03/05/19,Callophrys irus,Frosted Elfin,,Extirpated,Schedule 1,05/06/03,Ontario,Arthropods,,
Frosted Glass-whiskers,Atlantic population,Special Concern,28/11/14,Sclerophora peronella,Frosted Glass-whiskers,Nova Scotia population,Special Concern,Schedule 1,15/08/06,Nova Scotia,Lichens,,Add
Frosted Glass-whiskers,Pacific population,Data Deficient,28/11/14,Sclerophora peronella,Frosted Glass-whiskers,Pacific population,No Status,No schedule,,British Columbia,Lichens,,
Furbish's Lousewort,,Endangered,06/05/11,Pedicularis furbishiae,Furbish's Lousewort,,Endangered,Schedule 1,05/06/03,New Brunswick,Vascular Plants,,
GaspÌ© Shrew,,Not at Risk,29/04/06,Sorex gaspensis,GaspÌ© Shrew,,Special Concern,,,"Quebec, New Brunswick, Nova Scotia",Mammals (terrestrial),,
Gatineau Tadpole Snail,,Data Deficient,01/04/97,Physella parkeri  latchfordi,Gatineau Tadpole Snail,,No Status,No schedule,,Quebec,Molluscs,,
Gattinger's Agalinis,,Endangered,01/05/01,Agalinis gattingeri,Gattinger's Agalinis,,Endangered,Schedule 1,05/06/03,"Manitoba, Ontario",Vascular Plants,,Add
Georgia Basin Bog Spider,,Special Concern,25/11/12,Gnaphosa snohomish,Georgia Basin Bog Spider,,Special Concern,Schedule 1,02/02/18,British Columbia,Arthropods,,Add
Ghost Antler Lichen,,Not at Risk,25/11/11,Pseudevernia cladonia,Ghost Antler Lichen,,No Status,No schedule,,"Quebec, New Brunswick, Nova Scotia",Lichens,,Referred back
Ghost Shiner,,Not at Risk,01/04/93,Notropis buchanani,,,No Status,No schedule,,Ontario,Fishes (freshwater),,
Giant Helleborine,,Not at Risk,26/11/15,Epipactis gigantea,Giant Helleborine,,Special Concern,,,British Columbia,Vascular Plants,,
Giant Threespine Stickleback,,Special Concern,01/11/13,Gasterosteus aculeatus,Giant Threespine Stickleback,,Special Concern,Schedule 1,08/08/19,British Columbia,Fishes (freshwater),,Add
Gibson's Big Sand Tiger Beetle,,Threatened,25/11/12,Cicindela formosa  gibsoni,Gibson's Big Sand Tiger Beetle,,Threatened,Schedule 1,02/02/18,"Alberta, Saskatchewan",Arthropods,,Add
Gillman's Goldenrod,,Endangered,29/11/19,Solidago gillmanii,Gillman's Goldenrod,,No Status,No schedule,,Ontario,Vascular Plants,Addition,Pending
Gold-edged Gem,,Endangered,27/11/16,Schinia avemensis,Gold-edged Gem,,Endangered,Schedule 1,13/12/07,"Alberta, Saskatchewan, Manitoba",Arthropods,,Add
Golden Eagle,,Not at Risk,01/04/96,Aquila chrysaetos,,,No Status,No schedule,,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador",Birds,,
