Common Name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for,GIC Decision
Athabasca Thrift,,Special Concern,27/04/18,Armeria maritima  ssp. interior,Athabasca Thrift,,Special Concern,Schedule 1,12/01/05,Saskatchewan,Vascular Plants,,Add
Atlantic Bluefin Tuna,,Endangered,06/05/11,Thunnus thynnus,Atlantic Bluefin Tuna,,No Status,No schedule,,Atlantic Ocean,Fishes (marine),,Not to list
Atlantic Cod,,Non-active,01/05/03,Gadus morhua,Atlantic Cod,,Special Concern,,,Atlantic Ocean,Fishes (marine),,
Atlantic Cod,Arctic Lakes population,Special Concern,25/04/10,Gadus morhua,Atlantic Cod,Arctic Lakes population,No Status,No schedule,,Nunavut,Fishes (marine),Addition,Pending
Atlantic Cod,Arctic Marine population,Data Deficient,25/04/10,Gadus morhua,Atlantic Cod,Arctic Marine population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),,
Atlantic Cod,Arctic population,Non-active,25/04/10,Gadus morhua,Atlantic Cod,Arctic population,No Status,No schedule,,Arctic Ocean,Fishes (marine),,Referred back
Atlantic Cod,Laurentian North population,Endangered,25/04/10,Gadus morhua,Atlantic Cod,Laurentian North population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Atlantic Cod,Laurentian South population,Endangered,25/04/10,Gadus morhua,Atlantic Cod,Laurentian South population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Atlantic Cod,Maritimes population,Non-active,25/04/10,Gadus morhua,Atlantic Cod,Maritimes population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),,Not to list
Atlantic Cod,Newfoundland and Labrador population,Endangered,25/04/10,Gadus morhua,Atlantic Cod,Newfoundland and Labrador population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Atlantic Cod,Southern population,Endangered,25/04/10,Gadus morhua,Atlantic Cod,Southern population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Atlantic Halibut,,Not at Risk,25/11/11,Hippoglossus hippoglossus,,,No Status,No schedule,,Atlantic Ocean,Fishes (marine),,
Atlantic Mud-piddock,,Threatened,05/05/21,Barnea truncata,Atlantic Mud-piddock,,Threatened,Schedule 1,13/04/17,"Atlantic Ocean, Nova Scotia",Molluscs,,Add
Atlantic Salmon,Anticosti Island population,Endangered,26/11/10,Salmo salar,Atlantic Salmon,Anticosti Island population,No Status,No schedule,,"Atlantic Ocean, Quebec",Fishes (marine),Addition,Pending
Atlantic Salmon,Eastern Cape Breton population,Endangered,26/11/10,Salmo salar,Atlantic Salmon,Eastern Cape Breton population,No Status,No schedule,,"Atlantic Ocean, Nova Scotia",Fishes (marine),Addition,Pending
