CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,WSP_STATUS,CU_LAT,CU_LONG
Fraser Canyon,CO-5,CO,Current,AMBER,49.77051983160,-121.54515437900
Interior Fraser,CO-48,CO,Current,AMBER,53.09457856880,-123.22512438500
Lower Thompson,CO-7,CO,Current,AMBER/GREEN,50.69371344460,-121.05866325400
North Thompson,CO-9,CO,Current,AMBER/GREEN,51.90094960630,-119.89800255700
South Thompson,CO-8,CO,Current,AMBER,51.18736536940,-119.32625048100
