NOM_UC,INDICE_UC,SP_QUAL,TYPE_UC,ÉTAT_PSS,LAT_UC,LONG_UC
Fraser Canyon,CO-5,CO,Current,AMBER,49.77051983,-121.5451544
Interior Fraser,CO-48,CO,Current,AMBER,53.09457857,-123.2251244
Lower Thompson,CO-7,CO,Current,AMBER/GREEN,50.69371344,-121.0586633
North Thompson,CO-9,CO,Current,AMBER/GREEN,51.90094961,-119.8980026
South Thompson,CO-8,CO,Current,AMBER,51.18736537,-119.3262505
