NOM_UC,INDICE_UC,SP_QUAL,TYPE_UC,ÉTAT_PSS,LAT_UC,LONG_UC
Widgeon,SER-02,SER,Current,RED,49.35424426,-122.6467607
Harrison River,SER-03,SER,Current,GREEN,49.27735509,-121.9031228
