SP_QUAL,NOM_UC,TYPE_UC,INDICE_UC,Shape_Leng,Shape_Area
SEL,Slamgeesh,Current,SEL-22-10,0.28359870267,0.00225764274
SEL,Bowser,Current,SEL-24-01,2.65416604382,0.03178687900
SEL,Damdochax/Winimasik,Current,SEL-24-02,1.49857930975,0.01563867280
SEL,Fred Wright,Current,SEL-24-03,0.84499074949,0.01111025068
SEL,Kwinageese,Current,SEL-24-04,0.25106197287,0.00197997887
SEL,Meziadin,Current,SEL-24-05,1.76645859250,0.03089442145
SEL,Border,Current,SEL-25-01,0.24108450396,0.00196384642
SEL,Tahltan,Current,SEL-26-02,2.74487411279,0.03518128858
SEL,Chutine,Current,SEL-26-03,3.96317717157,0.06706761851
SEL,Whiting,Current,SEL-27-01,1.62245291445,0.02071294066
SEL,Little Trapper,Current,SEL-28-02,0.77462617712,0.00578434941
SEL,Tatsamenie,Current,SEL-28-03,2.22862125275,0.03989081920
SEL,Fulmore,Current,SEL-11-01,0.84439945473,0.01270658899
SEL,Heydon,Current,SEL-11-02,0.51908968396,0.00821750285
SEL,Mackenzie,Current,SEL-11-05,0.45084859460,0.00573929295
SEL,Sakinaw,Current,SEL-11-07,0.53611561511,0.00861112731
SEL,Village Bay,VREQ[Extirpated],SEL-11-10,0.59234894381,0.00900564668
SEL,Ida/Bonanza,Current,SEL-12-01,0.62335435510,0.01316894913
SEL,Quatse,Current,SEL-12-05,0.72990783002,0.00912074731
SEL,Schoen,Current,SEL-12-06,0.67075891703,0.01140407872
SEL,Shushartie,Current,SEL-12-07,0.82440684099,0.00954840653
SEL,Woss,Current,SEL-12-08,0.97997804486,0.02167325441
SEL,Canoe Creek,Current,SEL-13-02,0.33343780278,0.00176091112
SEL,Cheewat,Current,SEL-13-04,0.29197679844,0.00335509562
SEL,Clayoquot,Current,SEL-13-05,0.52753706606,0.00957235741
SEL,Great Central,Current,SEL-13-08,2.59860912043,0.05114845933
SEL,Henderson,Current,SEL-13-09,0.82420643744,0.01746844450
SEL,Hesquiat,Current,SEL-13-10,0.50095259696,0.00771460051
SEL,Hobiton,Current,SEL-13-11,0.50632253991,0.00514484289
SEL,Maggie,Current,SEL-13-15,0.32348733927,0.00383935745
SEL,Megin,Current,SEL-13-16,0.67734350313,0.00787375803
SEL,O'connell,Current,SEL-13-20,0.88623545072,0.01537044810
SEL,Power,Current,SEL-13-23,0.45229127972,0.00686755281
SEL,William/Brink,Current,SEL-13-26,0.71870626956,0.01009619958
SEL,Long,Current,SEL-15-01,1.26747654772,0.01823896479
SEL,Wannock[Owikeno],Current,SEL-15-04,0.31801178362,0.00446798031
SEL,Ain/Skundale/Ian,Current,SEL-17-01,1.26016870045,0.02680017202
SEL,Awun,Current,SEL-17-02,0.62930445624,0.00979035810
SEL,Jalun,Current,SEL-17-04,1.07668768875,0.01628485562
SEL,Mathers,Current,SEL-17-06,0.55211237847,0.01093525092
SEL,Mercer,Current,SEL-17-07,0.49532716593,0.00541934978
SEL,Skidegate,Current,SEL-17-08,1.01858504734,0.01973598016
SEL,Marie,Current,SEL-17-10,0.34689083606,0.00435163204
SEL,Kainet Creek,Current,SEL-18-05,0.36113013485,0.00514330488
SEL,Kitkiata,Current,SEL-18-07,0.51697784113,0.01027133564
SEL,Banks,Current,SEL-19-01,0.83338299839,0.01014087031
